item_code,brand,Master Catalogue name,medicine_type,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,pack,manufacturer,catg,subcatg,mrp
33534,phab protein bomb cashew raisin 15 gm,,others,phab protein bomb cashew raisin,phab protein bomb cashew raisin 15,0,phab protein bomb cashew,phab protein bomb,phab protein,phab,15gm,SUN HYGINNE FOODS PVT LTD,,,30
33535,phab protein bomb pistachio 15 gm,,others,phab protein bomb pistachio,phab protein bomb pistachio 15,0,phab protein bomb,phab protein,phab,phab,15gm,SUN HYGINNE FOODS PVT LTD,,,30
33551,sensodent k toothpaste 120gm,,others,sensodentk toothpaste,sensodentk toothpaste 120,0,sensodentk,sensodentk,sensodentk,sensodentk,120gm,Indoco Remedies Ltd,,,142
33603,prega news advance pregnancy test kit 1s,,others,prega news advance pregnancy test kit 1s,prega news advance pregnancy test kit 1s,0,prega news advance pregnancy test kit,prega news advance pregnancy test,prega news advance pregnancy,prega news advance,1s,Mankind Pharma Ltd,,,100
33604,ova news ovulation detection kit 1x6s,,others,ova news ovulation detection kit 1x6s,ova news ovulation detection kit 1x6s,0,ova news ovulation detection kit,ova news ovulation detection,ova news ovulation,ova news,1*6s,Mankind Pharma Ltd,,,600
33606,manforce epic condom enhanced dots choco 10s,,others,manforce epic condom enhanced dots chocolate 10s,manforce epic condom enhanced dots chocolate 10s,0,manforce epic condom enhanced dots chocolate,manforce epic condom enhanced dots,manforce epic condom enhanced,manforce epic condom,10s,Mankind Pharma Ltd,,,200
33608,manforce epic condom extra dotted fruit punch 10s,,others,manforce epic condom extra dotted fruit punch 10s,manforce epic condom extra dotted fruit punch 10s,0,manforce epic condom extra dotted fruit punch,manforce epic condom extra dotted fruit,manforce epic condom extra dotted,manforce epic condom extra,10s,Mankind Pharma Ltd,,,240
33610,manforce epic condom long lasting raspberry 10s,,others,manforce epic condom long lasting raspberry 10s,manforce epic condom long lasting raspberry 10s,0,manforce epic condom long lasting raspberry,manforce epic condom long lasting,manforce epic condom long,manforce epic condom,10s,Mankind Pharma Ltd,,,240
33612,manforce epic condom super thin silk chocolate 10s,,others,manforce epic condom super thin silk chocolate 10s,manforce epic condom super thin silk chocolate 10s,0,manforce epic condom super thin silk chocolate,manforce epic condom super thin silk,manforce epic condom super thin,manforce epic condom super,10s,Mankind Pharma Ltd,,,240
33623,kogium hq plus gel 15gm,,others,kogium hq plus,kogm hq plus gel 15,0,kogium hq,kogium,kogium,kogium,15gm,Regium Pharmaceuticals OPC Pvt Ltd,,,375
33624,clotilo cream 15gm,,others,clotilo,clotilo cream 15,0,clotilo,clotilo,clotilo,clotilo,15gm,Anglo French,,,40.7
33626,monturic l syrup 60ml,,syrup,monturic l,monturic l syrup 60,1,monturic,monturic,monturic,monturic,60ml,Mediste Pharmaceuticals Pvt Ltd,,,115
33629,azymo star 500 3s,,others,azymo star 500 3s,azymo star 500 3s,0,azymo star 500,azymo star,azymo,azymo,3s,Dr Morepen Labs Ltd,,,79.43
33631,azomycin 200 syp 15ml,,syrup,azomycin,azomycin 200 syrup 15,1,azomycin,azomycin,azomycin,azomycin,15ml,Cipla Ltd,,,52.31
33646,medisums multivitamin syrup 200ml,,syrup,medisums multivitamin,medisums multivitamin syrup 200,1,medisums,medisums,medisums,medisums,200ml,Mediste Pharmaceuticals Pvt Ltd,,,175
33654,budsocare 0.5 respules 2ml,,others,budsocare 0.5 respules,budsocare 0.5 respules 2,0,budsocare 0.5,budsocare,budsocare,budsocare,2ml,CARE FORMULATION LABS,,,118.75
33656,kogiumm hq plus cream 15gm,,others,kogiumm hq plus,kogmm hq plus cream 15,0,kogiumm hq,kogiumm,kogiumm,kogiumm,15gm,Regium Pharmaceuticals OPC Pvt Ltd,,,375
33659,biotique fresh neem pimple control face wash 150 ml,,others,biotique fresh neem pimple control face wash,biotique fresh neem pimple control face wash 150,0,biotique fresh neem pimple control face,biotique fresh neem pimple control,biotique fresh neem pimple,biotique fresh neem,150ml,BIO VEDA ACTION RESERCH COMPNEY,,,170
33660,biotique sun shield carrot spf 40 sunscreen lotion 120ml,,others,biotique sun shield carrot spf 40 sunscreen,biotique sun shield carrot spf 40 sunscreen lotion 120,0,biotique sun shield carrot spf 40,biotique sun shield carrot spf,biotique sun shield carrot,biotique sun shield,120ml,BIOVENCER HEALTHCARE PVT LTD,,,370
33728,cosvate gm ++ cream 25gm,,others,cosvategm ++,cosvate ++ cream 25,0,cosvategm,cosvategm,cosvategm,cosvategm,25gm,Oaknet Healthcare Pvt Ltd,,,92.45
