item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
33633,cetrizine syrup 60ml,,syrup,cetrizine,cetrizine syrup 60,1,cetrizine,cetrizine,cetrizine,cetrizine,150537.0,cetrizine syrup 30ml,syrup,cetrizine,cetrizine syrup 30,cetrizine syrup 30ml ,0.6666666666666667,0.6666666666666667,0,cetrizine syrup 60ml ,0.0,ml ,ml ,60ml,NUKIND HEALTHCARE PVT LTD,,,43.6,0,,,3,0.6666666666666667
33633,cetrizine syrup 60ml,,syrup,cetrizine,cetrizine syrup 60,1,cetrizine,cetrizine,cetrizine,cetrizine,382038.0,cetrizine 5mg/5ml syrup 60ml,syrup,cetrizine,cetrizine 5/5 syrup 60,cetrizine 5mg/5ml syrup 60ml ,0.6546536707079772,0.6666666666666667,0,cetrizine syrup 60ml ,1.0,ml ,mg/5ml ,60ml,NUKIND HEALTHCARE PVT LTD,,,43.6,0,,,3,0.6546536707079772
33639,pcm syp 60ml,,syrup,pcm,pcm 60,1,pcm,pcm,pcm,pcm,273369.0,pcm suspension 60ml,others,pcm,pcm 60,pcm suspension 60ml ,0.6666666666666667,0.6666666666666667,0,pcm syrup 60ml ,0.0,ml ,ml ,60ml,Intas Pharmaceuticals Ltd,,,29.92,1,,,1,0.9999999999999998
33640,paracip 250mg syrup 60ml,,syrup,paracip,paracip 250 syrup 60,1,paracip,paracip,paracip,paracip,271691.0,paracip syrup 60ml,syrup,paracip,paracip syrup 60,paracip syrup 60ml ,0.8660254037844387,0.8660254037844387,0,paracip 250mg syrup 60ml ,0.0,ml ,ml ,60ml,Cipla Ltd,,,44.35,0,,,1,0.8660254037844387
33655,everfresh tears eye drop 10ml,,others,everfresh,everfresh tears eye drops 10,0,everfresh,everfresh,everfresh,everfresh,190479.0,everfresh tears 0.5% eye drop 10ml,others,everfresh,everfresh tears 0.5% eye drops 10,everfresh tears 0.5% eye drops 10ml ,0.8451542547285165,0.8451542547285165,0,everfresh tears eye drops 10ml ,0.0,ml ,ml ,10ml,Alembic Pharmaceuticals Ltd,,,155.23,0,,,1,0.8451542547285165
33657,biotique shampoo &conditioner fresh henna 180ml,,others,biotique,biotique shampoo &conditioner fresh henna 180,0,biotique,biotique,biotique,biotique,127781.0,biotique bio henna leaf fresh texture shampoo & conditioner 190ml,others,biotique,biotique bio henna leaf fresh texture shampoo & conditioner 190,biotique bio henna leaf fresh texture shampoo & conditioner 190ml ,0.6804138174397718,0.6804138174397718,0,biotique shampoo &conditioner fresh henna 180ml ,0.0,ml ,ml ,180ml',BIO VEDA ACTION RESERCH COMPNEY,,,165,0,,,2,0.6804138174397718
33657,biotique shampoo &conditioner fresh henna 180ml,,others,biotique,biotique shampoo &conditioner fresh henna 180,0,biotique,biotique,biotique,biotique,127782.0,biotique bio henna leaf fresh texture shampoo & conditioner 800ml,others,biotique,biotique bio henna leaf fresh texture shampoo & conditioner 800,biotique bio henna leaf fresh texture shampoo & conditioner 800ml ,0.6804138174397718,0.6804138174397718,0,biotique shampoo &conditioner fresh henna 180ml ,0.0,ml ,ml ,180ml',BIO VEDA ACTION RESERCH COMPNEY,,,165,0,,,2,0.6804138174397718
33677,mesacol cr sachet 2gm,,others,mesacol,mesacol sachet 2,0,mesacol,mesacol,mesacol,mesacol,371751.0,mesacol cr 2gm granules 1gm,others,mesacol,mesacol 2 granules 1000,mesacol 2gm granules 1000mg ,0.5773502691896258,0.5773502691896258,0,mesacol sachet 2gm ,1.0,gm ,mg ,2gm,Sun Pharmaceutical Industries Ltd,,,76,0,,,1,0.5773502691896258
33682,natures gel face wash papaya 50gm,,others,natures,natures gel face wash papaya 50,0,natures,natures,natures,natures,249033.0,natures aid vegan vitamin d3 liquid 50ml,others,natures,natures aid vegan vitamin d3 liquid 50,natures aid vegan vitamin d3 liquid 50ml ,0.3086066999241838,0.3086066999241838,0,natures gel face wash papaya 50gm ,1.0,gm ,ml ,50gm,ESME CONSUMER PVT LTD,,,65,0,,,3,0.3086066999241838
33682,natures gel face wash papaya 50gm,,others,natures,natures gel face wash papaya 50,0,natures,natures,natures,natures,249037.0,natures aid vitamin d3 mini drops 50ml,others,natures,natures aid vitamin d3 mini drops 50,natures aid vitamin d3 mini drops 50ml ,0.3086066999241838,0.3086066999241838,0,natures gel face wash papaya 50gm ,1.0,gm ,ml ,50gm,ESME CONSUMER PVT LTD,,,65,0,,,3,0.3086066999241838
33682,natures gel face wash papaya 50gm,,others,natures,natures gel face wash papaya 50,0,natures,natures,natures,natures,249019.0,natures aid multi vitamin mini drops 50ml orange,others,natures,natures aid multi vitamin mini drops 50 orange,natures aid multi vitamin mini drops 50ml orange ,0.2886751345948129,0.3086066999241838,0,natures gel face wash papaya 50gm ,1.0,gm ,ml ,50gm,ESME CONSUMER PVT LTD,,,65,0,,,3,0.2886751345948129
33738,zimba lotion 10ml,,others,zimba,zimba lotion 10,0,zimba,zimba,zimba,zimba,376496.0,zimba 1% cream 10gm,others,zimba,zimba 1% cream 10,zimba 1% cream 10gm ,0.5773502691896258,0.5773502691896258,0,zimba lotion 10ml ,1.0,ml ,gm ,10ml,Sun Pharmaceutical Industries Ltd,,,294,0,,,1,0.5773502691896258
33750,dolopar syp 120mg 60ml,,syrup,dolopar,dolopar syrup 120 60,1,dolopar,dolopar,dolopar,dolopar,377501.0,dolopar 120mg syrup 60ml,syrup,dolopar,dolopar 120 syrup 60,dolopar 120mg syrup 60ml ,1.0,1.0,0,dolopar syrup 120mg 60ml ,0.0,ml ,ml ,60ml,Micro Labs Ltd,,,39.64,0,,,1,1.0
33771,amrosys cream 30gm,,others,amrosys,amrosys cream 30,0,amrosys,amrosys,amrosys,amrosys,112154.0,amrosys 0.25% cream 30gm,others,amrosys,amrosys 0.25% cream 30,amrosys 0.25% cream 30gm ,0.7745966692414834,0.7745966692414834,0,amrosys cream 30gm ,0.0,gm ,gm ,30gm,Systopic Laboratories Pvt Ltd,,,240,0,,,1,0.7745966692414834
33812,ebernet cream 1% 60gm,,others,ebernet,ebernet cream 1% 60,0,ebernet,ebernet,ebernet,ebernet,183499.0,ebernet cream 60gm,others,ebernet,ebernet cream 60,ebernet cream 60gm ,0.8660254037844387,0.8660254037844387,0,ebernet cream 1% 60gm ,0.0,gm ,gm ,60gm,Dr Reddy's Laboratories Ltd,,,830.5,0,,,1,0.8660254037844387
33822,enterogermina susp 10x5ml,,others,enterogermina,enterogermina suspension 10x5,0,enterogermina,enterogermina,enterogermina,enterogermina,187046.0,enterogermina oral suspension 5ml,others,enterogermina,enterogermina suspension 5,enterogermina oral suspension 5ml ,0.5773502691896258,0.5773502691896258,0,enterogermina suspension 10x5ml ,0.0,ml ,ml ,10*5ml,Sanofi India Ltd,,,658,0,,,1,0.6666666666666667
33829,inbilt solution 5% 60ml,,others,inbilt,inbilt solution 5% 60,0,inbilt,inbilt,inbilt,inbilt,383400.0,inbilt-5 topical solution 60ml,others,inbilt,inbilt 5 topical solution 60,inbilt 5 topical solution 60ml ,0.8944271909999159,0.8944271909999159,0,inbilt solution 5% 60ml ,0.0,ml ,ml ,60ml,GLENSMITH LABS PRIVATE LIMITED,,,780,0,,,1,0.8944271909999159
33855,nutrihale syp 100ml,,syrup,nutrihale,nutrihale syrup 100,1,nutrihale,nutrihale,nutrihale,nutrihale,258317.0,nutrihale 500mg syrup 100ml,syrup,nutrihale,nutrihale 500 syrup 100,nutrihale 500mg syrup 100ml ,0.8660254037844387,0.8660254037844387,0,nutrihale syrup 100ml ,0.0,ml ,ml ,100ml',Fourrts India Laboratories Pvt Ltd,,,295,0,,,1,0.8660254037844387
