item_code,brand_x,brand_y,manufacturer,id,mrp
914973,himalaya pilex forte ointment 30 gm,himalaya pilex forte ointment 30gm,Reckitt Benckiser India Pvt Ltd,370349.0,82
1026718,himalaya platenza syrup 100 ml,himalaya platenza syrup 100ml,Reckitt Benckiser India Pvt Ltd,376996.0,82
408131,himalaya sensitive toothpaste 80 gm,himalaya sensitive toothpaste 80gm,Reckitt Benckiser India Pvt Ltd,364487.0,245
821849,la shield fisico sunscreen gel 50gm,la shield fisico sunscreen gel 50gm,Reckitt Benckiser India Ltd,223753.0,82
413038,nivea aloe hydration skin cream 50 ml,nivea aloe hydration skin cream 50ml,Reckitt Benckiser India Pvt Ltd,254888.0,245
13621,nivea creme 100 ml,nivea creme 100ml,Reckitt Benckiser India Pvt Ltd,254905.0,245
404366,nivea creme 200 ml,nivea creme 200ml,Reckitt Benckiser India Pvt Ltd,254904.0,82
857341,nivea creme 30 ml,nivea creme 30ml,Reckitt Benckiser India Pvt Ltd,254901.0,82
13610,nivea creme 60 ml,nivea creme 60ml,Reckitt Benckiser India Pvt Ltd,362514.0,82
891222,nivea men dark spot reduction creme 150 ml,nivea men dark spot reduction creme 150ml,Reckitt Benckiser India Pvt Ltd,254918.0,82
1041704,nivea men dark spot reduction creme 30 ml,nivea men dark spot reduction creme 30ml,Reckitt Benckiser India Pvt Ltd,254915.0,82
362506,scalpe plus anti dandruff shampoo 75 ml,scalpe plus anti dandruff shampoo 75ml,Reckitt Benckiser India Pvt Ltd,365674.0,120
380034,himalaya evecare capsule 30's,himalaya evecare capsule 30s,Reckitt Benckiser India Pvt Ltd,364428.0,245
1030579,himalaya cystone forte tablet 30's,himalaya cystone forte tablet 30s,Reckitt Benckiser India Pvt Ltd,210853.0,245
331497,himalaya gasex tablet 100's,himalaya gasex tablet 100s,Reckitt Benckiser India Pvt Ltd,362483.0,82
1059330,himalaya pilex forte tablet 30's,himalaya pilex forte tablet 30s,Reckitt Benckiser India Pvt Ltd,381120.0,82
962274,himalaya q-dee cramps tablet 8's,himalaya q dee cramps tablet 8s,Reckitt Benckiser India Pvt Ltd,380028.0,245
14126,himalaya reosto tablet 60's,himalaya reosto tablet 60s,Reckitt Benckiser India Pvt Ltd,211044.0,245
