Master Catalogue name,medicine_type_x,count_tab,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,brand_x,mod_brand,exp_sku_brand,max_cosine,quantity_x,quantity_y,quantity_flag,mod_brand2,uom_flag,uom_x,uom_y,strength_flag,strength_x,strength_y,salt_flag,item_code,pack,manufacturer,catg,subcatg,mrp,count,mod_cosine
,tablet,1.0,himalaya wellness shuddha,himalaya wellness,himalaya,211120.0,himalaya wellness pure herbs shuddha guggulu cardiac wellness tablet 60s,tablet,himalaya,himalaya wellness pure herbs shuddha guggulu cardiac 60s,himalaya wellness pure herbs shuddha guggulu cardiac wellness tablet 60s,0.7905694150420948,himalaya wellness shuddha-guggulu tablet 60's,himalaya wellness shuddha guggulu 60s,himalaya wellness shuddha guggulu,0.7905694150420948,60,60,0.0,himalaya wellness shuddha guggulu tablet 60s,2.0,,,2.0,,,0,408780,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.7905694150420948
,tablet,1.0,kaloree 1 400s+200,kaloree 1,kaloree,219539.0,kaloree 1 tablet 400s,tablet,kaloree,kaloree 1 400s,kaloree 1 tablet 400s,0.7745966692414834,kaloree 1 400's+200 free tablet,kaloree 1 400s+200 free,kaloree 1 400s+200 free,0.7745966692414834,400,400,0.0,kaloree 1 400s+200 free tablet,2.0,,,2.0,,,0,806925,,Reckitt Benckiser India Pvt Ltd,,,82,1,0.7745966692414834
,tablet,1.0,himalaya q dee,himalaya q,himalaya,380028.0,himalaya q dee cramps tablet 8s,tablet,himalaya,himalaya q dee cramps 8s,himalaya q dee cramps tablet 8s,0.7999999999999998,himalaya q-dee nausea tablet 8's,himalaya q dee nausea 8s,himalaya q dee nausea,0.7999999999999998,8,8,0.0,himalaya q dee nausea tablet 8s,2.0,,,2.0,,,0,962272,,Reckitt Benckiser India Pvt Ltd,,,245,1,0.7999999999999998
,tablet,1.0,himalaya q dee,himalaya q,himalaya,380028.0,himalaya q dee cramps tablet 8s,tablet,himalaya,himalaya q dee cramps 8s,himalaya q dee cramps tablet 8s,0.7999999999999998,himalaya q-dee acidity tablet 8's,himalaya q dee acidity 8s,himalaya q dee acidity,0.7999999999999998,8,8,0.0,himalaya q dee acidity tablet 8s,2.0,,,2.0,,,0,962273,,Reckitt Benckiser India Pvt Ltd,,,245,1,0.7999999999999998
,tablet,1.0,himalaya q dee,himalaya q,himalaya,380028.0,himalaya q dee cramps tablet 8s,tablet,himalaya,himalaya q dee cramps 8s,himalaya q dee cramps tablet 8s,0.7999999999999998,himalaya q-dee immunity tablet 8's,himalaya q dee immunity 8s,himalaya q dee immunity,0.7999999999999998,8,8,0.0,himalaya q dee immunity tablet 8s,2.0,,,2.0,,,0,962275,,Reckitt Benckiser India Pvt Ltd,,,245,1,0.7999999999999998
,tablet,1.0,himalaya cystone,himalaya,himalaya,210853.0,himalaya cystone forte tablet 30s,tablet,himalaya,himalaya cystone forte 30s,himalaya cystone forte tablet 30s,,himalaya cystone forte tablet 30's,himalaya cystone forte 30s,himalaya cystone forte,,,,,himalaya cystone forte tablet 30s,,,,,,,0,1030579,,Reckitt Benckiser India Pvt Ltd,,,245,1,
,tablet,1.0,himalaya,himalaya,himalaya,362483.0,himalaya gasex tablet 100s,tablet,himalaya,himalaya gasex 100s,himalaya gasex tablet 100s,,himalaya gasex tablet 100's,himalaya gasex 100s,himalaya gasex,,,,,himalaya gasex tablet 100s,,,,,,,0,331497,,Reckitt Benckiser India Pvt Ltd,,,82,1,
,tablet,1.0,himalaya pilex,himalaya,himalaya,381120.0,himalaya pilex forte tablet 30s,tablet,himalaya,himalaya pilex forte 30s,himalaya pilex forte tablet 30s,,himalaya pilex forte tablet 30's,himalaya pilex forte 30s,himalaya pilex forte,,,,,himalaya pilex forte tablet 30s,,,,,,,0,1059330,,Reckitt Benckiser India Pvt Ltd,,,82,1,
,tablet,1.0,himalaya q dee,himalaya q,himalaya,380028.0,himalaya q dee cramps tablet 8s,tablet,himalaya,himalaya q dee cramps 8s,himalaya q dee cramps tablet 8s,,himalaya q-dee cramps tablet 8's,himalaya q dee cramps 8s,himalaya q dee cramps,,,,,himalaya q dee cramps tablet 8s,,,,,,,0,962274,,Reckitt Benckiser India Pvt Ltd,,,245,1,
,tablet,1.0,himalaya,himalaya,himalaya,211044.0,himalaya reosto tablet 60s,tablet,himalaya,himalaya reosto 60s,himalaya reosto tablet 60s,,himalaya reosto tablet 60's,himalaya reosto 60s,himalaya reosto,,,,,himalaya reosto tablet 60s,,,,,,,0,14126,,Reckitt Benckiser India Pvt Ltd,,,245,1,
