item_code,brand_x,brand_y,manufacturer,id,mrp,count
407395,himalaya herbals complete care toothpaste 150 gm,himalaya complete care toothpaste 150gm,Reckitt Benckiser India Pvt Ltd,364418.0,245,1
409290,manforce condoms wild chocolate 20's,manforce wild chocolate condom 20s,Reckitt Benckiser India Ltd,377423.0,82,1
409314,gas o fast active ajwain 5 gm,gas o fast active sachet 5gm ajwain,Glenmark Pharmaceuticals Ltd,199770.0,90,1
409766,nivea men body deodorizer - energy 120 ml,nivea cocoa nourish body lotion 120ml,Reckitt Benckiser India Pvt Ltd,254899.0,82,1
409767,nivea men fresh active deodorant 150 ml,nivea men dark spot reduction creme 150ml,Reckitt Benckiser India Pvt Ltd,254918.0,82,1
411006,nivea whitening cool sensation body lotion 75 ml,nivea whitening cool sensation body lotion spf 15 75ml,Reckitt Benckiser India Pvt Ltd,254948.0,120,1
801482,nivea men fresh ocean deodorant spray 150 ml,nivea men dark spot reduction creme 150ml,Reckitt Benckiser India Pvt Ltd,254918.0,82,1
801484,nivea men sensitive shaving foam 200 ml,nivea creme 200ml,Reckitt Benckiser India Pvt Ltd,254904.0,360,1
802824,nivea original care lip balm 4.8 gm,nivea lip balm 4.8gm cherry shine,Reckitt Benckiser India Pvt Ltd,254912.0,360,1
822654,durex condoms - extra thin 3's,durex extra thin strawberry condom 3s,Glenmark Pharmaceuticals Ltd,377519.0,145,1
822658,durex condoms - extra ribbed 3's,durex extra ribbed condom 3s,Glenmark Pharmaceuticals Ltd,381588.0,145,1
822660,durex condoms - extra time 3's,durex extra time condom 3s,Glenmark Pharmaceuticals Ltd,377255.0,145,1
823629,manforce sunny edition condoms 10's,manforce sunny edition condom 10s,Reckitt Benckiser India Pvt Ltd,377432.0,245,1
824025,himalaya baby gift pack -jar,himalaya babycare gift pack 1,Reckitt Benckiser India Pvt Ltd,364407.0,245,1
824511,manforce condoms sunny edition 3's,manforce sunny edition condom 3s,Reckitt Benckiser India Ltd,377431.0,82,1
845469,nivea fruity lip balm - strawberry 10 gm,nivea lip balm 4.8gm cherry shine,Reckitt Benckiser India Pvt Ltd,254912.0,82,1
851504,nivea pomegranate shine lip balm 4.8 gm,nivea lip balm 4.8gm cherry shine,Reckitt Benckiser India Pvt Ltd,254912.0,360,1
852537,nivea aloe hydration skin cream 100 ml,nivea aloe hydration skin cream 50ml,Reckitt Benckiser India Pvt Ltd,254888.0,245,1
917046,scalpe pro daily anti dandruff shampoo 100 ml,scalpe pro anti dandruff shampoo 100ml,Reckitt Benckiser India Pvt Ltd,374405.0,120,1
937274,nivea men acne face wash 50 gm,nivea men all in one oil control face wash 50gm,Reckitt Benckiser India Pvt Ltd,254913.0,82,1
979478,manforce overtime condoms - orange 10's,manforce condom overtime orange 10s,Reckitt Benckiser India Pvt Ltd,371533.0,245,1
979482,manforce overtime condoms - pineapple 3's,manforce overtime pineapple condom 3s,Reckitt Benckiser India Pvt Ltd,377426.0,245,1
1072188,himalaya vet digyton plus liquid 100 ml,himalaya bonnisan liquid 100ml,Reckitt Benckiser India Pvt Ltd,210837.0,82,1
363406,himalaya ayurslim capsule 60's,himalaya wellness ayurslim capsule 60s,Galderma India Pvt Ltd,364501.0,1015,1
407956,himalaya ayurslim capsule (pack of 3 x 60's),himalaya wellness ayurslim capsule combi pack 3*60s,Galderma India Pvt Ltd,378570.0,333,1
992628,himalaya flora sante capsule 20's,himalaya florasante capsule 20s,Reckitt Benckiser India Pvt Ltd,378208.0,245,1
1026720,himalaya platenza tablet (pack of 3 x 20's),himalaya healthcare platenza tablet 20s,Reckitt Benckiser India Pvt Ltd,210921.0,82,1
1060737,himalaya platenza tablet 20's,himalaya healthcare platenza tablet 20s,Reckitt Benckiser India Pvt Ltd,210921.0,82,1
368578,himalaya wellness guduchi tablet 60's,himalaya wellness pure herbs guduchi immunity wellness tablet 60s,Reckitt Benckiser India Pvt Ltd,362399.0,82,1
406653,himalaya wellness shigru tablet 60's,himalaya wellness pure herbs shigru bone & joint wellness tablet 60s,Reckitt Benckiser India Pvt Ltd,364516.0,82,1
407397,himalaya wellness tulasi tablets 60's,himalaya wellness pure herbs tulasi respiratory wellness tablet 60s,Reckitt Benckiser India Pvt Ltd,362410.0,82,1
407398,himalaya wellness brahmi tablet 60's,himalaya wellness pure herbs brahmi mind wellness tablet 60s,Reckitt Benckiser India Pvt Ltd,377137.0,82,1
407399,himalaya wellness shatavari tablet 60's,himalaya shatavari tablets 60s,Reckitt Benckiser India Pvt Ltd,381044.0,82,1
407400,himalaya wellness shallaki tablet 60's,himalaya wellness pure herbs shallaki tablet 60s,Reckitt Benckiser India Pvt Ltd,364513.0,82,1
407861,himalaya wellness vrikshamla tablet 60's,himalaya wellness pure herbs vrikshamla weight wellness tablet 60s,Reckitt Benckiser India Pvt Ltd,364517.0,82,1
412552,himalaya wellness neem tablet 60's,himalaya wellness pure herbs neem skin wellness tablet 60s,Reckitt Benckiser India Pvt Ltd,377129.0,82,1
801324,himalaya wellness arjuna tablet 60's,himalaya arjuna tablet 60s,Reckitt Benckiser India Pvt Ltd,376924.0,82,1
840206,himalaya wellness hadjod tablet 60's,himalaya hadjod tablet 60s,Reckitt Benckiser India Pvt Ltd,210913.0,82,1
408780,himalaya wellness shuddha-guggulu tablet 60's,himalaya wellness pure herbs shuddha guggulu cardiac wellness tablet 60s,Reckitt Benckiser India Pvt Ltd,211120.0,82,1
806925,kaloree 1 400's+200 free tablet,kaloree 1 tablet 400s,Reckitt Benckiser India Pvt Ltd,219539.0,82,1
962272,himalaya q-dee nausea tablet 8's,himalaya q dee cramps tablet 8s,Reckitt Benckiser India Pvt Ltd,380028.0,245,1
962273,himalaya q-dee acidity tablet 8's,himalaya q dee cramps tablet 8s,Reckitt Benckiser India Pvt Ltd,380028.0,245,1
962275,himalaya q-dee immunity tablet 8's,himalaya q dee cramps tablet 8s,Reckitt Benckiser India Pvt Ltd,380028.0,245,1
407416,himalaya trikatu tablet 60's,himalaya bresol tablet 60s,Reckitt Benckiser India Pvt Ltd,210838.0,82,20
407416,himalaya trikatu tablet 60's,himalaya cystone tablet 60s,Reckitt Benckiser India Pvt Ltd,210857.0,82,20
407416,himalaya trikatu tablet 60's,himalaya hadjod tablet 60s,Reckitt Benckiser India Pvt Ltd,210913.0,82,20
407416,himalaya trikatu tablet 60's,himalaya lukol tablet 60s,Reckitt Benckiser India Pvt Ltd,210971.0,82,20
