item_code,brand_x,Master Catalogue name,medicine_type_x,exp_sku_brand,mod_brand,count_syp,exp_sku_brand2,exp_sku_brand3,exp_sku_brand4,exp_sku_brand5,id,brand_y,medicine_type_y,sku_brand,new_brand,new_brand2,cosine,max_cosine,salt_flag,mod_brand2,uom_flag,uom_x,uom_y,pack,manufacturer,catg,subcatg,mrp,medicine_type_flag,count_cap,count_tab,count,mod_cosine
10178,nasivion baby nasal drops 10ml,,others,nasivion baby nasal,nasivion baby nasal drops 10,0,nasivion baby,nasivion,nasivion,nasivion,372217.0,nasivion child nasal drops 10ml,others,nasivion,nasivion paediatric nasal drops 10,nasivion paediatric nasal drops 10ml ,0.7999999999999998,0.8451542547285165,0,nasivion baby nasal drops 10ml ,0.0,ml ,ml ,10ml,PROCTER AND GAMBLE HEALTHCARE LTD,,,75.6,0,,,3,0.7999999999999998
11396,yees 40 10s,,others,yees 40 10s,yees 40 10s,0,yees 40,yees,yees,yees,345106.0,yees 40mg tablet 15s,tablet,yees,yees 40 15s,yees 40mg tablet 15s ,0.5773502691896258,0.5773502691896258,0,yees 40 10s ,2.0,,mg ,10s,ALKEM,,,146.0,1,,,2,0.6666666666666667
11396,yees 40 10s,,others,yees 40 10s,yees 40 10s,0,yees 40,yees,yees,yees,345107.0,yees d capsule sr 10s,capsule,yees,yees d 10s,yees d capsule 10s ,0.5773502691896258,0.5773502691896258,0,yees 40 10s ,2.0,,,10s,ALKEM,,,146.0,1,,,2,0.6666666666666667
12561,joy fruit cr. 200ml,,others,joy fruit cr.,joy fruit cr. 200,0,joy fruit,joy,joy,joy,218812.0,joy on 100mg tablet 4s,tablet,joy,joy on 100 4s,joy on 100mg tablet 4s ,0.22360679774997896,0.22360679774997896,0,joy fruit cr. 200ml ,1.0,ml ,mg ,200ml,OTHERS,,,158.0,1,,,5,0.25
12561,joy fruit cr. 200ml,,others,joy fruit cr.,joy fruit cr. 200,0,joy fruit,joy,joy,joy,218813.0,joy on 50mg tablet 4s,tablet,joy,joy on 50 4s,joy on 50mg tablet 4s ,0.22360679774997896,0.22360679774997896,0,joy fruit cr. 200ml ,1.0,ml ,mg ,200ml,OTHERS,,,158.0,1,,,5,0.25
12561,joy fruit cr. 200ml,,others,joy fruit cr.,joy fruit cr. 200,0,joy fruit,joy,joy,joy,218800.0,joy division aquaglide medical lubricant 50ml,others,joy,joy division aquaglide medical lubricant 50,joy division aquaglide medical lubricant 50ml ,0.20412414523193154,0.22360679774997896,0,joy fruit cr. 200ml ,0.0,ml ,ml ,200ml,OTHERS,,,158.0,0,,,5,0.20412414523193154
12561,joy fruit cr. 200ml,,others,joy fruit cr.,joy fruit cr. 200,0,joy fruit,joy,joy,joy,218801.0,joy division bioglide natural lubricant 40ml,others,joy,joy division bioglide natural lubricant 40,joy division bioglide natural lubricant 40ml ,0.20412414523193154,0.22360679774997896,0,joy fruit cr. 200ml ,0.0,ml ,ml ,200ml,OTHERS,,,158.0,0,,,5,0.20412414523193154
12561,joy fruit cr. 200ml,,others,joy fruit cr.,joy fruit cr. 200,0,joy fruit,joy,joy,joy,218807.0,joy division ironman performance spray 30ml,others,joy,joy division ironman performance spray 30,joy division ironman performance spray 30ml ,0.20412414523193154,0.22360679774997896,0,joy fruit cr. 200ml ,0.0,ml ,ml ,200ml,OTHERS,,,158.0,0,,,5,0.20412414523193154
1275,stolin r foaming gel 120gm,,others,stolin r foaming,stolin r foaming gel 120,0,stolin r,stolin,stolin,stolin,317744.0,stolin  r gel 50gm,others,stolin,stolin r gel 50,stolin r gel 50gm ,0.6708203932499369,0.6708203932499369,0,stolin r foaming gel 120gm ,0.0,gm ,gm ,120gm,DR. REDDY LABORATORIES LTD,,,204.0,0,,,3,0.6708203932499369
1275,stolin r foaming gel 120gm,,others,stolin r foaming,stolin r foaming gel 120,0,stolin r,stolin,stolin,stolin,361829.0,stolin  r gel 100gm,others,stolin,stolin r gel 100,stolin r gel 100gm ,0.6708203932499369,0.6708203932499369,0,stolin r foaming gel 120gm ,0.0,gm ,gm ,120gm,DR. REDDY LABORATORIES LTD,,,204.0,0,,,3,0.6708203932499369
